doc_id,igo_id,igo_name,doc_family,doc_type,filename,source_url,access_date,source_note
DOC_0043,unodc,United Nations Office on Drugs and Crime (UNODC),Other / governance instrument,Document,UNODC — UNGA:ECOSOC mandate document_2.pdf,,,Provided (local copy)
DOC_0044,unoosa,United Nations Office for Outer Space Affairs (UNOOSA),Other / governance instrument,Document,UNOOSA — UNGA mandate:Secretariat terms.pdf,,,Provided (local copy)
DOC_0045,unops,United Nations Office for Project Services (UNOPS),Foundational / legal,Resolution / decision,UNOPS Resolution.pdf,,,Provided (local copy)
DOC_0046,unrisd,UN Research Institute for Social Development (UNRISD),Other / governance instrument,Document,UNRISD Secretariat Bulletin.pdf,,,Provided (local copy)
DOC_0047,unrisd,UN Research Institute for Social Development (UNRISD),Other / governance instrument,Document,UNRISD.pdf,,,Provided (local copy)
DOC_0048,unu,United Nations University (UNU),Foundational / legal,Charter,UNU-Charter-2014.pdf,,,Provided (local copy)
DOC_0049,unwto,World Tourism Organization/UN Tourism (UNWTO),Foundational / legal,Statute,unwto statute.pdf,,,Provided (local copy)
DOC_0050,wfp,World Food Programme (WFP),Foundational / legal,Rules / regulations,WFP — General Regulations & Rules  Basic Texts.pdf,,,Provided (local copy)
DOC_0051,who,World Health Organization (WHO),Foundational / legal,Constitution,WHO Constitution.pdf,,,Provided (local copy)
DOC_0052,wipo,World Intellectual Property Organisation (WIPO),Foundational / legal,Convention / treaty,WIPO Convention.pdf,,,Provided (local copy)
DOC_0053,wmo,World Meteorological Organization (WMO),Other / governance instrument,Document,WMO Basic Document.pdf,,,Provided (local copy)
DOC_0054,wbg,World Bank Group (WBG),Foundational / legal,Articles of agreement,World Bank (IBRD) — Articles of Agreement (1944).pdf,,,Provided (local copy)
DOC_0055,wbg,World Bank Group (WBG),Foundational / legal,Agreement,World Bank_IBRDArticlesOfAgreementEnglish.pdf,,,Provided (local copy)
DOC_0056,wfp,World Food Programme (WFP),Other / governance instrument,Document,World Food Programme.pdf,,,Provided (local copy)
DOC_0057,unwto,World Tourism Organization/UN Tourism (UNWTO),Other / governance instrument,Document,World Tourism Organisation.pdf,,,Provided (local copy)
DOC_0058,wto,World Trade Organization (WTO),Foundational / legal,Agreement,WTO — Marrakesh Agreement Establishing the World Trade Organization (1994).pdf,,,Provided (local copy)
DOC_0059,un_habitat,United Nations Human Settlements Programme (UN-Habitat),Foundational / legal,Establishing mandate / resolution,UN Hbitat renewed mandate.pdf,,,Provided (local copy)
