run_id,run_stage,corpus_subset,retrieval_methods,parameters_json,random_seed,timestamp_utc
stage2_pass1_20260125T232013Z,Stage2_Pilot_Pass1_SeedOnly,pilot (n=20),keyword_regex + TF-IDF semantic similarity (sklearn),"{""seed_theme_count"": 26, ""tfidf_ngram_range"": [1, 2], ""tfidf_min_df"": 2, ""tfidf_max_df"": 0.9, ""semantic_threshold"": 0.12, ""semantic_top_n_per_seed"": 200}",,20260125T232013Z
stage2_theme_inventory_20260125T232013Z,Stage2_Pilot_ThemeDiscovery,pilot (n=20),TF-IDF keyphrase extraction + rule-based selection,"{""target_theme_count"": 80, ""additional_themes_selected"": 54, ""tfidf_ngram_range"": [1, 3], ""selection_rule"": ""top terms by mean TF-IDF filtered by governance keyword stems""}",,20260125T232013Z
stage2_synexp_20260125T232013Z,Stage2_SynonymExpansion,pilot (n=20),Distinctive n-gram extraction via log-odds on paragraph counts (sklearn CountVectorizer),"{""candidate_term_theme_pairs"": 3261, ""compiled_shortlist_terms"": 176, ""validated_terms"": 143, ""ngram_range"": [1, 3], ""min_df"": 2, ""max_df"": 0.9, ""log_odds_alpha"": 0.5}",,20260125T232013Z
stage2_pass2pilot_20260125T233727Z,Stage2_Pilot_Pass2_SynonymExpanded,pilot (n=20),dictionary regex matching (theme labels + validated synonyms),"{""theme_count"": 80, ""validated_synonyms"": 143, ""total_dictionary_terms"": 223}",,20260125T233727Z
stage2_pass2full_20260125T233829Z,Stage2_FullCorpus_Pass2_SynonymExpanded,remaining (n=47),dictionary regex matching (theme labels + validated synonyms),"{""theme_count"": 80, ""validated_synonyms"": 143, ""total_dictionary_terms"": 223}",,20260125T233829Z
