doc_id,igo_id,igo_name,doc_family,doc_type,filename,local_path,file_ext,file_bytes,sha256,bundle_relpath,source_url,access_date,extraction_method,page_count,pages_with_text,empty_pages,pct_pages_with_text,page_load_errors,extraction_quality_flag,source_note
DOC_0016,imf,International Monetary Fund (IMF),Foundational / legal,Agreement,IMF article of agreement.pdf,/mnt/data/IMF article of agreement.pdf,.pdf,1101841,c99a65d66fc0528520b6a8b0691eb16f810ee8a7b84dcb03b0c6b7c405e6b6de,data/raw/igo_documents/IMF article of agreement.pdf,,,pymupdf_text,136.0,128.0,8.0,0.9412,0.0,ok,Provided (local copy)
DOC_0017,imo,Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,Foundational / legal,Convention / treaty,IMO Convention.pdf,/mnt/data/IMO Convention.pdf,.pdf,1525777,8be6c5f1930e8baa35ba66ecedb8c24b515ce86508818ea1c636f86770ad3bcb,data/raw/igo_documents/IMO Convention.pdf,,,pymupdf_text,102.0,93.0,9.0,0.9118,0.0,ok,Provided (local copy)
DOC_0018,isa,International Seabed Authority,Other / governance instrument,Document,International Seabed Authority.pdf,/mnt/data/International Seabed Authority.pdf,.pdf,277122,81c29a2ba97838a9f904ec53c76a24bfd5007e3d76e36656ff22bf76bb238773,data/raw/igo_documents/International Seabed Authority.pdf,,,pymupdf_text,16.0,16.0,0.0,1.0,0.0,ok,Provided (local copy)
DOC_0019,ioc,Intergovernmental Oceanographic Commission (IOC),Foundational / legal,Statute,IOC Statute.pdf,/mnt/data/IOC Statute.pdf,.pdf,164913,3ab69ce915ea96857a7688d8f548cebefd6bdb604f536923934760f366bda9b1,data/raw/igo_documents/IOC Statute.pdf,,,pymupdf_text,41.0,41.0,0.0,1.0,0.0,ok,Provided (local copy)
DOC_0020,ipcc,IPCC,Other / governance instrument,Procedures / principles,IPCC Principles and Procedures.pdf,/mnt/data/IPCC Principles and Procedures.pdf,.pdf,48792,4245dcfd7c5bca0a22d085b0523170d7dd76c5397074958a66a6794390cdb35a,data/raw/igo_documents/IPCC Principles and Procedures.pdf,,,pymupdf_text,12.0,12.0,0.0,1.0,0.0,ok,Provided (local copy)
DOC_0021,unep,United Nations Environment Programme (UNEP),Foundational / legal,Resolution / decision,IPCC — Founding WMO:UNEP resolution(s).pdf,/mnt/data/IPCC — Founding WMO:UNEP resolution(s).pdf,.pdf,36645,c752fb7508ec4dd2d270cd02c85c8b665ba3dcbb4378eb8f58d0df802c92047f,data/raw/igo_documents/IPCC — Founding WMO:UNEP resolution(s).pdf,,,pymupdf_text,5.0,5.0,0.0,1.0,0.0,ok,Provided (local copy)
DOC_0022,itc,International Trade Centre (ITC),Foundational / legal,Agreement,ITC_ GENERAL AGREEMENT TARIFFS AND TRADE.pdf,/mnt/data/ITC_ GENERAL AGREEMENT TARIFFS AND TRADE.pdf,.pdf,1484913,639e850528c67bde03c195435fb9c8f144c24b76b269f8140af315e2facad0b5,data/raw/igo_documents/ITC_ GENERAL AGREEMENT TARIFFS AND TRADE.pdf,,,pymupdf_text,15.0,15.0,0.0,1.0,0.0,ok,Provided (local copy)
DOC_0023,minamata,Minamata Convention on Mercury (Minamata),Foundational / legal,Convention / treaty,Minamata-Convention-booklet-Sep2019-EN.pdf,/mnt/data/Minamata-Convention-booklet-Sep2019-EN.pdf,.pdf,599032,d3583c7f8e3ec99219b491ba91f18fecf49d32971aaefc73277ce4f9d6ddb49a,data/raw/igo_documents/Minamata-Convention-booklet-Sep2019-EN.pdf,,,pymupdf_text,72.0,61.0,11.0,0.8472,0.0,ok,Provided (local copy)
DOC_0024,oecd,Organisation for Economic Co-operation and Development (OECD),Foundational / legal,Convention / treaty,OECD Convention.pdf,/mnt/data/OECD Convention.pdf,.pdf,200947,1eec4fa9ebb1c2bf6f9226456858cfef390a87be1faafb531ed1decba3acff96,data/raw/igo_documents/OECD Convention.pdf,,,pymupdf_text,14.0,14.0,0.0,1.0,0.0,ok,Provided (local copy)
DOC_0025,ipbes,The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),Other / governance instrument,Procedures / principles,Operating PRincinples of IPBES.pdf,/mnt/data/Operating PRincinples of IPBES.pdf,.pdf,183843,bb2821719f8cf63add22aaa8863a0036fbdd2d7aa05fb3805862ab0ea9459c18,data/raw/igo_documents/Operating PRincinples of IPBES.pdf,,,pymupdf_text,7.0,7.0,0.0,1.0,0.0,ok,Provided (local copy)
